validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
MLP_seq,9293.047,239265812.957,15468.219,0.16,16.67,26.67,56.67,1.97,6.31,7.77,1.97,10.59,10.69
MLP_seq,9387.557,233871776.382,15292.867,0.17,13.33,26.67,50.0,2.18,2.72,4.48,2.18,7.51,7.96
MLP_seq,9903.661,265670834.395,16299.412,0.17,10.0,30.0,53.33,0.24,5.73,7.37,0.24,11.02,10.62
MLP_seq,9852.969,262513393.916,16202.265,0.17,20.0,33.33,56.67,2.56,7.05,8.36,2.56,11.47,10.98
MLP_seq,9801.749,250409570.843,15824.335,0.18,16.67,26.67,53.33,0.22,5.07,6.22,0.22,9.81,8.55
MLP_seq,9428.825,228580210.172,15118.869,0.18,6.67,26.67,53.33,4.37,1.07,2.7,4.37,6.35,5.93
MLP_seq,10088.887,239579316.413,15478.35,0.19,3.33,20.0,50.0,3.32,1.95,4.0,3.32,7.07,8.02
MLP_seq,10082.661,267923594.868,16368.372,0.18,13.33,30.0,56.67,0.13,6.03,7.41,0.13,11.67,10.17
MLP_seq,9807.62,243157772.302,15593.517,0.18,3.33,20.0,53.33,3.19,2.4,4.65,3.19,7.8,9.05
MLP_seq,8664.995,213485856.164,14611.155,0.15,16.67,30.0,56.67,2.42,3.02,4.74,2.42,8.3,8.14
MLP_seq,9256.642,219192769.375,14805.16,0.16,13.33,23.33,50.0,0.09,3.94,5.55,0.09,7.95,8.76
MLP_seq,9934.532,227624636.902,15087.234,0.17,6.67,20.0,36.67,2.25,6.68,8.14,2.25,11.05,11.05
MLP_seq,9040.985,213144680.361,14599.475,0.16,20.0,26.67,50.0,0.64,3.49,4.31,0.64,7.59,5.97
MLP_seq,10045.44,265875105.759,16305.677,0.17,13.33,23.33,63.33,0.79,5.55,7.14,0.79,11.57,10.3
MLP_seq,9681.518,248115068.99,15751.669,0.17,6.67,26.67,53.33,2.26,4.28,6.08,2.26,10.46,9.65
MLP_seq,9952.025,248322095.994,15758.239,0.18,10.0,23.33,56.67,0.34,5.11,6.78,0.34,9.78,10.08
MLP_seq,9517.641,249840485.599,15806.343,0.17,10.0,30.0,56.67,0.13,4.01,5.59,0.13,7.87,8.73
MLP_seq,9832.87,245708392.993,15675.088,0.17,6.67,30.0,46.67,1.49,5.21,6.47,1.49,8.93,9.01
