Data,Hora,kWh fornecido
30/10/2023,6,873.36
30/10/2023,7,873
30/10/2023,8,870.12
30/10/2023,9,870.12
30/10/2023,10,870.48
30/10/2023,11,869.4
30/10/2023,12,870.84
30/10/2023,13,869.4
30/10/2023,14,870.48
30/10/2023,15,870.84
30/10/2023,16,870.12
30/10/2023,17,869.76
30/10/2023,18,870.84
30/10/2023,19,871.56
30/10/2023,20,871.56
30/10/2023,21,870.84
30/10/2023,22,870.48
30/10/2023,23,871.2
30/10/2023,24,870.48
31/10/2023,1,870.84
31/10/2023,2,870.48
31/10/2023,3,870.84
31/10/2023,4,870.84
31/10/2023,5,870.48
31/10/2023,6,870.48
31/10/2023,7,871.2
31/10/2023,8,868.68
31/10/2023,9,869.04
31/10/2023,10,870.12
31/10/2023,11,869.4
31/10/2023,12,870.84
31/10/2023,13,870.12
31/10/2023,14,869.76
31/10/2023,15,869.04
31/10/2023,16,869.4
31/10/2023,17,869.4
31/10/2023,18,870.84
31/10/2023,19,870.48
31/10/2023,20,870.84
31/10/2023,21,870.48
31/10/2023,22,870.12
31/10/2023,23,870.12
31/10/2023,24,870.48
01/11/2023,1,870.48
01/11/2023,2,870.48
01/11/2023,3,870.12
01/11/2023,4,869.76
01/11/2023,5,870.48
01/11/2023,6,870.12
01/11/2023,7,870.12
01/11/2023,8,869.76
01/11/2023,9,870.84
01/11/2023,10,870.84
01/11/2023,11,869.76
01/11/2023,12,870.12
01/11/2023,13,870.12
01/11/2023,14,869.76
01/11/2023,15,870.12
01/11/2023,16,865.08
01/11/2023,17,869.76
01/11/2023,18,870.84
01/11/2023,19,870.12
01/11/2023,20,871.2
01/11/2023,21,870.84
01/11/2023,22,870.12
01/11/2023,23,871.56
01/11/2023,24,871.56
02/11/2023,1,871.2
02/11/2023,2,870.84
02/11/2023,3,870.48
02/11/2023,4,871.2
02/11/2023,5,870.48
02/11/2023,6,871.2
02/11/2023,7,871.2
02/11/2023,8,870.84
02/11/2023,9,871.2
02/11/2023,10,870.84
02/11/2023,11,869.76
02/11/2023,12,870.48
02/11/2023,13,870.84
02/11/2023,14,869.76
02/11/2023,15,870.48
02/11/2023,16,869.4
02/11/2023,17,869.04
02/11/2023,18,870.84
02/11/2023,19,871.2
02/11/2023,20,871.2
02/11/2023,21,870.48
02/11/2023,22,870.12
02/11/2023,23,870.84
02/11/2023,24,871.92
03/11/2023,1,871.56
03/11/2023,2,871.56
03/11/2023,3,871.56
03/11/2023,4,871.56
03/11/2023,5,871.2
03/11/2023,6,871.2
03/11/2023,7,871.2
03/11/2023,8,870.48
03/11/2023,9,869.76
03/11/2023,10,870.84
03/11/2023,11,870.84
03/11/2023,12,871.2
03/11/2023,13,870.12
03/11/2023,14,870.84
03/11/2023,15,870.48
03/11/2023,16,869.76
03/11/2023,17,870.12
03/11/2023,18,870.84
03/11/2023,19,871.2
03/11/2023,20,871.56
03/11/2023,21,871.2
03/11/2023,22,870.84
03/11/2023,23,871.2
03/11/2023,24,871.2
04/11/2023,1,871.2
04/11/2023,2,871.2
04/11/2023,3,871.2
04/11/2023,4,870.84
04/11/2023,5,871.56
04/11/2023,6,871.92
04/11/2023,7,871.2
04/11/2023,8,869.4
04/11/2023,9,871.56
04/11/2023,10,871.92
04/11/2023,11,870.12
04/11/2023,12,869.4
04/11/2023,13,869.04
04/11/2023,14,870.84
04/11/2023,15,870.84
04/11/2023,16,869.04
04/11/2023,17,869.76
04/11/2023,18,870.48
04/11/2023,19,871.2
04/11/2023,20,871.2
04/11/2023,21,870.12
04/11/2023,22,871.56
04/11/2023,23,871.56
04/11/2023,24,870.48
05/11/2023,1,870.48
05/11/2023,2,870.84
05/11/2023,3,870.84
05/11/2023,4,870.84
05/11/2023,5,870.84
05/11/2023,6,871.2
05/11/2023,7,871.2
05/11/2023,8,870.84
05/11/2023,9,871.92
05/11/2023,10,871.2
05/11/2023,11,869.76
05/11/2023,12,869.76
05/11/2023,13,869.76
05/11/2023,14,869.76
05/11/2023,15,869.4
05/11/2023,16,868.32
05/11/2023,17,869.4
05/11/2023,18,870.84
05/11/2023,19,870.12
05/11/2023,20,870.12
05/11/2023,21,870.48
05/11/2023,22,870.84
05/11/2023,23,871.2
05/11/2023,24,871.56
06/11/2023,1,870.84
06/11/2023,2,870.84
06/11/2023,3,870.12
06/11/2023,4,870.48
06/11/2023,5,870.12
06/11/2023,6,870.12
06/11/2023,7,870.84
06/11/2023,8,869.76
06/11/2023,9,870.12
06/11/2023,10,870.12
06/11/2023,11,869.76
06/11/2023,12,869.76
06/11/2023,13,869.4
06/11/2023,14,869.4
06/11/2023,15,869.76
06/11/2023,16,869.76
06/11/2023,17,869.76
06/11/2023,18,870.84
06/11/2023,19,870.84
06/11/2023,20,871.56
06/11/2023,21,870.84
06/11/2023,22,870.84
06/11/2023,23,871.92
06/11/2023,24,871.56
07/11/2023,1,870.84
07/11/2023,2,871.2
07/11/2023,3,871.92
07/11/2023,4,872.28
07/11/2023,5,870.84
07/11/2023,6,871.2
07/11/2023,7,871.92
07/11/2023,8,871.56
07/11/2023,9,871.2
07/11/2023,10,871.56
07/11/2023,11,871.2
07/11/2023,12,653.4
07/11/2023,13,210.96
07/11/2023,14,807.84
07/11/2023,15,872.28
07/11/2023,16,872.28
07/11/2023,17,872.64
07/11/2023,18,873.36
07/11/2023,19,873.36
07/11/2023,20,873.72
07/11/2023,21,872.64
07/11/2023,22,872.64
07/11/2023,23,873
07/11/2023,24,873.72
08/11/2023,1,872.28
08/11/2023,2,872.28
08/11/2023,3,872.64
08/11/2023,4,872.28
08/11/2023,5,871.2
08/11/2023,6,871.56
08/11/2023,7,872.64
08/11/2023,8,870.84
08/11/2023,9,871.2
08/11/2023,10,870.84
08/11/2023,11,870.84
08/11/2023,12,871.56
08/11/2023,13,871.56
08/11/2023,14,871.2
08/11/2023,15,870.84
08/11/2023,16,871.2
08/11/2023,17,870.84
08/11/2023,18,871.56
08/11/2023,19,872.28
08/11/2023,20,872.28
08/11/2023,21,872.28
08/11/2023,22,871.92
08/11/2023,23,872.64
08/11/2023,24,873
09/11/2023,1,871.92
09/11/2023,2,871.2
09/11/2023,3,871.92
09/11/2023,4,872.28
09/11/2023,5,871.56
09/11/2023,6,871.56
09/11/2023,7,871.92
09/11/2023,8,870.48
09/11/2023,9,870.48
09/11/2023,10,869.76
09/11/2023,11,716.04
09/11/2023,12,823.68
09/11/2023,13,881.64
09/11/2023,14,882
09/11/2023,15,881.28
09/11/2023,16,881.28
09/11/2023,17,881.28
09/11/2023,18,882.36
09/11/2023,19,882.36
09/11/2023,20,883.08
09/11/2023,21,882.72
09/11/2023,22,882.36
09/11/2023,23,882.72
09/11/2023,24,882.36
10/11/2023,1,883.08
10/11/2023,2,883.08
10/11/2023,3,883.08
10/11/2023,4,882
10/11/2023,5,882
10/11/2023,6,882.36
10/11/2023,7,883.08
10/11/2023,8,880.92
10/11/2023,9,881.28
10/11/2023,10,881.64
10/11/2023,11,881.64
10/11/2023,12,881.28
10/11/2023,13,879.84
10/11/2023,14,880.92
10/11/2023,15,881.28
10/11/2023,16,881.28
10/11/2023,17,880.92
10/11/2023,18,881.64
10/11/2023,19,882.72
10/11/2023,20,883.44
10/11/2023,21,882
10/11/2023,22,882
10/11/2023,23,882.36
10/11/2023,24,882.72
11/11/2023,1,883.08
11/11/2023,2,882.36
11/11/2023,3,882.72
11/11/2023,4,882
11/11/2023,5,881.64
11/11/2023,6,882.36
11/11/2023,7,882.36
11/11/2023,8,880.2
11/11/2023,9,879.84
11/11/2023,10,881.28
11/11/2023,11,880.2
11/11/2023,12,879.84
11/11/2023,13,879.84
11/11/2023,14,879.48
11/11/2023,15,879.84
11/11/2023,16,879.48
11/11/2023,17,879.84
11/11/2023,18,881.28
11/11/2023,19,880.92
11/11/2023,20,881.28
11/11/2023,21,880.92
11/11/2023,22,881.28
11/11/2023,23,880.92
11/11/2023,24,882
12/11/2023,1,881.28
12/11/2023,2,881.28
12/11/2023,3,880.92
12/11/2023,4,881.28
12/11/2023,5,880.92
12/11/2023,6,882.36
12/11/2023,7,880.56
12/11/2023,8,880.92
12/11/2023,9,879.84
12/11/2023,10,879.48
12/11/2023,11,878.76
12/11/2023,12,880.2
12/11/2023,13,878.76
12/11/2023,14,879.84
12/11/2023,15,879.48
12/11/2023,16,878.4
12/11/2023,17,879.48
12/11/2023,18,880.2
12/11/2023,19,880.56
12/11/2023,20,881.28
12/11/2023,21,882
12/11/2023,22,880.56
12/11/2023,23,880.56
12/11/2023,24,880.56
13/11/2023,1,880.56
13/11/2023,2,880.56
13/11/2023,3,880.56
13/11/2023,4,880.56
13/11/2023,5,880.56
13/11/2023,6,880.56
13/11/2023,7,880.2
13/11/2023,8,879.84
13/11/2023,9,879.48
13/11/2023,10,879.84
13/11/2023,11,880.2
13/11/2023,12,880.2
13/11/2023,13,880.2
13/11/2023,14,879.84
13/11/2023,15,880.2
13/11/2023,16,878.76
13/11/2023,17,878.76
13/11/2023,18,882
13/11/2023,19,882
13/11/2023,20,881.28
13/11/2023,21,880.92
13/11/2023,22,880.92
13/11/2023,23,881.28
13/11/2023,24,881.28
14/11/2023,1,880.92
14/11/2023,2,880.92
14/11/2023,3,880.92
14/11/2023,4,880.56
14/11/2023,5,881.28
14/11/2023,6,881.64
14/11/2023,7,881.64
14/11/2023,8,879.84
14/11/2023,9,879.84
14/11/2023,10,880.2
14/11/2023,11,879.84
14/11/2023,12,880.2
14/11/2023,13,879.84
14/11/2023,14,879.84
14/11/2023,15,880.2
14/11/2023,16,879.84
14/11/2023,17,879.12
14/11/2023,18,881.28
14/11/2023,19,881.28
14/11/2023,20,881.64
14/11/2023,21,880.92
14/11/2023,22,880.56
14/11/2023,23,880.92
14/11/2023,24,880.2
15/11/2023,1,880.56
15/11/2023,2,880.56
15/11/2023,3,880.56
15/11/2023,4,880.56
15/11/2023,5,690.12
15/11/2023,6,786.24
15/11/2023,7,883.8
15/11/2023,8,880.2
15/11/2023,9,880.92
15/11/2023,10,879.48
15/11/2023,11,881.28
15/11/2023,12,880.2
15/11/2023,13,881.28
15/11/2023,14,880.2
15/11/2023,15,880.56
