Data,Hora,Ativa C (kWh)
23/08/2024,14,936
23/08/2024,15,"935,28"
23/08/2024,16,"936,36"
23/08/2024,17,"937,08"
23/08/2024,18,"938,16"
23/08/2024,19,"938,52"
23/08/2024,20,"939,24"
23/08/2024,21,"939,24"
23/08/2024,22,"938,52"
23/08/2024,23,"938,16"
23/08/2024,24,"938,16"
24/08/2024,1,"938,88"
24/08/2024,2,"938,16"
24/08/2024,3,"937,8"
24/08/2024,4,"938,16"
24/08/2024,5,"937,08"
24/08/2024,6,"937,08"
24/08/2024,7,"938,52"
24/08/2024,8,"937,44"
24/08/2024,9,"937,44"
24/08/2024,10,"938,16"
24/08/2024,11,"937,44"
24/08/2024,12,"937,44"
24/08/2024,13,"938,16"
24/08/2024,14,"937,44"
24/08/2024,15,"937,44"
24/08/2024,16,"937,44"
24/08/2024,17,"937,8"
24/08/2024,18,"937,8"
24/08/2024,19,"938,16"
24/08/2024,20,"938,16"
24/08/2024,21,"937,8"
24/08/2024,22,"938,16"
24/08/2024,23,"938,52"
24/08/2024,24,"938,16"
25/08/2024,1,"938,52"
25/08/2024,2,"938,16"
25/08/2024,3,"938,16"
25/08/2024,4,"937,8"
25/08/2024,5,"938,16"
25/08/2024,6,"938,88"
25/08/2024,7,"938,52"
25/08/2024,8,"938,16"
25/08/2024,9,"938,16"
25/08/2024,10,"937,44"
25/08/2024,11,"937,44"
25/08/2024,12,"938,16"
25/08/2024,13,"938,88"
25/08/2024,14,"938,16"
25/08/2024,15,"938,16"
25/08/2024,16,"937,44"
25/08/2024,17,"936,72"
25/08/2024,18,"938,16"
25/08/2024,19,"938,52"
25/08/2024,20,"939,24"
25/08/2024,21,"938,16"
25/08/2024,22,"937,8"
25/08/2024,23,"938,88"
25/08/2024,24,"937,44"
26/08/2024,1,"937,44"
26/08/2024,2,"938,16"
26/08/2024,3,"937,08"
26/08/2024,4,"937,8"
26/08/2024,5,"937,08"
26/08/2024,6,"937,8"
26/08/2024,7,"937,8"
26/08/2024,8,"937,8"
26/08/2024,9,"938,52"
26/08/2024,10,"938,16"
26/08/2024,11,"937,08"
26/08/2024,12,"938,88"
26/08/2024,13,"937,8"
26/08/2024,14,"937,08"
26/08/2024,15,"936,72"
26/08/2024,16,"937,08"
26/08/2024,17,"937,8"
26/08/2024,18,"938,52"
26/08/2024,19,"937,8"
26/08/2024,20,"938,52"
26/08/2024,21,"938,88"
26/08/2024,22,"940,32"
26/08/2024,23,"939,24"
26/08/2024,24,"937,8"
27/08/2024,1,"938,16"
27/08/2024,2,"938,88"
27/08/2024,3,"938,52"
27/08/2024,4,"937,8"
27/08/2024,5,"937,8"
27/08/2024,6,"937,8"
27/08/2024,7,"938,52"
27/08/2024,8,"938,16"
27/08/2024,9,"938,16"
27/08/2024,10,"938,16"
27/08/2024,11,"937,8"
27/08/2024,12,"937,8"
27/08/2024,13,"937,44"
27/08/2024,14,"936,72"
27/08/2024,15,"936,36"
27/08/2024,16,936
27/08/2024,17,"936,72"
27/08/2024,18,"938,88"
27/08/2024,19,"937,8"
27/08/2024,20,"937,8"
27/08/2024,21,"937,44"
27/08/2024,22,"939,24"
27/08/2024,23,"937,8"
27/08/2024,24,"938,52"
28/08/2024,1,"938,52"
28/08/2024,2,"937,8"
28/08/2024,3,"937,44"
28/08/2024,4,"937,08"
28/08/2024,5,"937,08"
28/08/2024,6,"936,72"
28/08/2024,7,"937,44"
28/08/2024,8,"936,72"
28/08/2024,9,"937,8"
28/08/2024,10,"937,8"
28/08/2024,11,"937,08"
28/08/2024,12,"937,44"
28/08/2024,13,"938,88"
28/08/2024,14,936
28/08/2024,15,936
28/08/2024,16,"935,64"
28/08/2024,17,936
28/08/2024,18,"937,08"
28/08/2024,19,"936,36"
28/08/2024,20,"937,44"
28/08/2024,21,"939,6"
28/08/2024,22,"941,04"
28/08/2024,23,"940,68"
28/08/2024,24,"940,32"
29/08/2024,1,"939,96"
29/08/2024,2,"940,32"
29/08/2024,3,"940,32"
29/08/2024,4,"939,96"
29/08/2024,5,"939,96"
29/08/2024,6,"939,96"
29/08/2024,7,"939,96"
29/08/2024,8,"939,96"
29/08/2024,9,"939,96"
29/08/2024,10,"939,96"
29/08/2024,11,"939,96"
29/08/2024,12,"941,04"
29/08/2024,13,"939,96"
29/08/2024,14,"939,96"
29/08/2024,15,"940,68"
29/08/2024,16,"938,88"
29/08/2024,17,"938,88"
29/08/2024,18,"940,32"
29/08/2024,19,"940,32"
29/08/2024,20,"940,68"
29/08/2024,21,"939,6"
29/08/2024,22,"939,24"
29/08/2024,23,"939,96"
29/08/2024,24,"940,68"
30/08/2024,1,"941,04"
30/08/2024,2,"941,04"
30/08/2024,3,"939,96"
30/08/2024,4,"939,6"
30/08/2024,5,"938,52"
30/08/2024,6,"939,96"
30/08/2024,7,"941,04"
30/08/2024,8,"940,32"
30/08/2024,9,"940,32"
30/08/2024,10,"941,4"
30/08/2024,11,"941,4"
30/08/2024,12,"942,48"
30/08/2024,13,"942,12"
30/08/2024,14,"941,04"
30/08/2024,15,"941,04"
30/08/2024,16,"941,76"
30/08/2024,17,"940,68"
30/08/2024,18,"941,76"
30/08/2024,19,"942,48"
30/08/2024,20,"942,12"
30/08/2024,21,"941,76"
30/08/2024,22,"942,12"
30/08/2024,23,"941,4"
30/08/2024,24,"942,12"
31/08/2024,1,"942,48"
31/08/2024,2,"942,12"
31/08/2024,3,"941,76"
31/08/2024,4,"941,76"
31/08/2024,5,"941,4"
31/08/2024,6,"941,76"
31/08/2024,7,"942,84"
31/08/2024,8,"942,84"
31/08/2024,9,"942,12"
31/08/2024,10,"942,12"
31/08/2024,11,"942,48"
31/08/2024,12,"942,48"
31/08/2024,13,"941,4"
31/08/2024,14,"940,68"
31/08/2024,15,"939,96"
31/08/2024,16,"939,96"
31/08/2024,17,"939,96"
31/08/2024,18,"941,04"
31/08/2024,19,"941,4"
31/08/2024,20,"942,12"
31/08/2024,21,"940,68"
31/08/2024,22,"941,4"
31/08/2024,23,"941,04"
31/08/2024,24,"941,76"
01/09/2024,1,"941,76"
01/09/2024,2,"941,76"
01/09/2024,3,"941,4"
01/09/2024,4,"941,76"
01/09/2024,5,"941,4"
01/09/2024,6,"941,4"
01/09/2024,7,"941,76"
01/09/2024,8,"942,48"
01/09/2024,9,"942,12"
01/09/2024,10,"943,2"
01/09/2024,11,"940,68"
01/09/2024,12,"941,4"
01/09/2024,13,"942,12"
01/09/2024,14,"940,68"
01/09/2024,15,"940,32"
01/09/2024,16,"939,96"
01/09/2024,17,"939,96"
01/09/2024,18,"940,68"
01/09/2024,19,"940,32"
01/09/2024,20,"941,4"
01/09/2024,21,"940,68"
01/09/2024,22,"941,4"
01/09/2024,23,"941,4"
01/09/2024,24,"941,04"
02/09/2024,1,"942,12"
02/09/2024,2,"942,12"
02/09/2024,3,"941,76"
02/09/2024,4,"941,76"
02/09/2024,5,"941,04"
02/09/2024,6,"941,04"
02/09/2024,7,"941,04"
02/09/2024,8,"941,4"
02/09/2024,9,"941,76"
02/09/2024,10,"941,4"
02/09/2024,11,"941,76"
02/09/2024,12,"941,4"
02/09/2024,13,"941,4"
02/09/2024,14,"940,68"
02/09/2024,15,"940,68"
02/09/2024,16,"940,32"
02/09/2024,17,"940,32"
02/09/2024,18,"941,04"
02/09/2024,19,"941,76"
02/09/2024,20,"941,04"
02/09/2024,21,"940,32"
02/09/2024,22,"941,04"
02/09/2024,23,"941,04"
02/09/2024,24,"941,4"
03/09/2024,1,"941,04"
03/09/2024,2,"941,4"
03/09/2024,3,"940,68"
03/09/2024,4,"948,6"
03/09/2024,5,"454,68"
03/09/2024,6,"235,8"
03/09/2024,7,"336,96"
03/09/2024,8,"336,96"
03/09/2024,9,"336,24"
03/09/2024,10,"336,24"
03/09/2024,11,"583,56"
03/09/2024,12,"834,12"
03/09/2024,13,"879,48"
03/09/2024,14,"879,12"
03/09/2024,15,"882,72"
03/09/2024,16,"882,72"
03/09/2024,17,882
03/09/2024,18,"883,44"
03/09/2024,19,"884,16"
03/09/2024,20,"884,16"
03/09/2024,21,"881,64"
03/09/2024,22,"883,44"
03/09/2024,23,"883,8"
03/09/2024,24,"883,8"
04/09/2024,1,"884,16"
04/09/2024,2,"883,08"
04/09/2024,3,"883,44"
04/09/2024,4,"883,08"
04/09/2024,5,"883,08"
04/09/2024,6,"882,72"
04/09/2024,7,"883,08"
04/09/2024,8,"883,08"
04/09/2024,9,"882,36"
04/09/2024,10,882
04/09/2024,11,"881,64"
04/09/2024,12,"882,36"
04/09/2024,13,"881,64"
04/09/2024,14,"881,28"
04/09/2024,15,"880,92"
04/09/2024,16,"881,28"
04/09/2024,17,882
04/09/2024,18,"883,44"
04/09/2024,19,"883,8"
04/09/2024,20,"883,08"
04/09/2024,21,882
04/09/2024,22,"881,64"
04/09/2024,23,"881,28"
04/09/2024,24,"881,64"
05/09/2024,1,882
05/09/2024,2,"880,2"
05/09/2024,3,"879,84"
05/09/2024,4,"879,84"
05/09/2024,5,"879,84"
05/09/2024,6,"879,12"
05/09/2024,7,"879,12"
05/09/2024,8,"879,12"
05/09/2024,9,"879,12"
05/09/2024,10,"878,76"
05/09/2024,11,"878,76"
05/09/2024,12,"879,12"
05/09/2024,13,"878,76"
05/09/2024,14,"879,12"
05/09/2024,15,"878,4"
05/09/2024,16,"879,12"
05/09/2024,17,"878,4"
05/09/2024,18,"879,48"
05/09/2024,19,"879,12"
05/09/2024,20,"879,84"
05/09/2024,21,"878,4"
05/09/2024,22,"878,76"
05/09/2024,23,"878,4"
05/09/2024,24,"878,76"
06/09/2024,1,"878,76"
06/09/2024,2,"878,76"
06/09/2024,3,"878,76"
06/09/2024,4,"878,76"
06/09/2024,5,"878,04"
06/09/2024,6,"919,8"
06/09/2024,7,"923,4"
06/09/2024,8,"923,4"
06/09/2024,9,"923,76"
06/09/2024,10,"923,76"
06/09/2024,11,"924,12"
06/09/2024,12,"924,12"
06/09/2024,13,"925,2"
06/09/2024,14,"923,4"
06/09/2024,15,"922,68"
06/09/2024,16,"922,68"
06/09/2024,17,"922,68"
06/09/2024,18,"923,4"
06/09/2024,19,"924,84"
06/09/2024,20,"924,12"
06/09/2024,21,"923,4"
06/09/2024,22,"922,68"
06/09/2024,23,"923,76"
06/09/2024,24,"923,76"
07/09/2024,1,"923,76"
07/09/2024,2,"924,12"
07/09/2024,3,"923,76"
07/09/2024,4,"923,04"
07/09/2024,5,"923,04"
07/09/2024,6,"923,04"
07/09/2024,7,"923,76"
07/09/2024,8,"924,48"
07/09/2024,9,"924,48"
07/09/2024,10,"924,48"
07/09/2024,11,"921,96"
07/09/2024,12,"922,32"
07/09/2024,13,"922,32"
07/09/2024,14,"923,4"
07/09/2024,15,"920,88"
07/09/2024,16,"921,6"
07/09/2024,17,"922,32"
07/09/2024,18,"923,4"
07/09/2024,19,"923,76"
07/09/2024,20,"924,12"
07/09/2024,21,"924,12"
07/09/2024,22,"923,76"
07/09/2024,23,"923,4"
07/09/2024,24,"923,76"
08/09/2024,1,"923,4"
08/09/2024,2,"923,76"
08/09/2024,3,"923,76"
08/09/2024,4,"923,4"
08/09/2024,5,"923,4"
08/09/2024,6,"923,76"
08/09/2024,7,"924,48"
08/09/2024,8,"924,48"
08/09/2024,9,"923,4"
08/09/2024,10,"923,76"
08/09/2024,11,"923,04"
08/09/2024,12,"922,68"
