validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
MLP_seq,7448.35,192289467.088,13866.848,0.12,10.0,40.0,70.0,3.29,6.47,8.26,3.29,9.68,11.8
MLP_seq,7700.759,196878360.843,14031.335,0.13,6.67,36.67,73.33,3.67,6.77,8.64,3.67,9.91,12.31
MLP_seq,7585.205,193148386.294,13897.784,0.13,10.0,43.33,66.67,3.57,5.92,7.83,3.57,8.35,11.57
MLP_seq,7542.267,193947656.235,13926.509,0.13,23.33,40.0,63.33,1.89,6.35,7.61,1.89,10.74,10.13
MLP_seq,7876.768,223732075.37,14957.676,0.13,13.33,43.33,70.0,3.82,7.27,9.25,3.82,10.73,13.14
MLP_seq,7898.284,216654682.895,14719.194,0.13,13.33,40.0,66.67,4.1,7.29,9.44,4.1,10.52,13.62
MLP_seq,8023.497,219505324.657,14815.712,0.13,26.67,50.0,60.0,4.08,7.92,10.01,4.08,11.74,14.11
MLP_seq,7259.343,198810701.931,14100.025,0.12,20.0,46.67,70.0,1.76,5.85,7.37,1.76,9.91,10.39
MLP_seq,7516.643,214431032.653,14643.464,0.12,26.67,40.0,73.33,4.96,8.72,9.94,4.96,12.46,12.4
MLP_seq,7672.988,207039961.377,14388.883,0.13,16.67,50.0,66.67,1.72,5.24,7.35,1.72,8.77,11.48
MLP_seq,7544.133,213758560.214,14620.484,0.12,30.0,43.33,63.33,2.97,6.49,7.96,2.97,10.02,10.89
MLP_seq,7742.909,217499979.924,14747.881,0.13,20.0,43.33,66.67,3.19,6.67,8.33,3.19,10.17,11.63
MLP_seq,7642.49,213207047.702,14601.611,0.13,16.67,43.33,70.0,3.03,6.61,8.16,3.03,10.2,11.25
MLP_seq,7445.748,204706228.022,14307.558,0.12,10.0,50.0,70.0,2.59,5.87,7.33,2.59,9.18,10.24
MLP_seq,7911.679,213619692.267,14615.734,0.13,26.67,36.67,63.33,4.91,8.29,9.69,4.91,11.68,12.48
MLP_seq,8004.826,214392937.655,14642.163,0.13,16.67,40.0,63.33,4.47,7.25,8.88,4.47,10.07,12.13
MLP_seq,8215.6,223209228.453,14940.188,0.13,20.0,36.67,60.0,5.65,8.25,9.92,5.65,10.91,13.21
MLP_seq,7691.921,204331085.089,14294.442,0.13,16.67,40.0,63.33,3.5,6.11,7.88,3.5,8.77,11.37
MLP_seq,7614.066,206281024.11,14362.487,0.13,20.0,43.33,63.33,4.06,6.85,8.46,4.06,9.68,11.67
MLP_seq,7944.266,220361095.053,14844.564,0.13,23.33,40.0,66.67,4.64,8.39,9.64,4.64,12.12,12.15
MLP_seq,7513.416,211206197.821,14532.935,0.12,33.33,43.33,66.67,3.47,6.87,8.66,3.47,10.28,12.21
MLP_seq,7746.716,213185873.412,14600.886,0.13,23.33,43.33,66.67,4.58,7.59,9.27,4.58,10.64,12.6
MLP_seq,7461.844,205843201.048,14347.237,0.12,16.67,46.67,70.0,3.43,6.65,8.18,3.43,9.9,11.22
MLP_seq,8009.439,212252664.913,14568.894,0.13,13.33,36.67,70.0,5.09,7.83,9.31,5.09,10.61,12.27
MLP_seq,7878.683,204806472.454,14311.061,0.13,13.33,40.0,66.67,3.48,6.16,7.57,3.48,8.89,10.39
MLP_seq,7878.594,209385279.942,14470.151,0.13,16.67,40.0,66.67,3.89,6.83,8.48,3.89,9.81,11.76
MLP_seq,8065.449,214844735.134,14657.583,0.13,6.67,36.67,60.0,2.78,5.88,7.59,2.78,9.02,10.97
